Symbol	Ballooning_1_vs_control	Ballooning_1_vs_control_pvalue	Ballooning_2_vs_control	Ballooning_2_vs_control_pvalue
BCYRN1	0.38343677		0.2679763	0.378
LOC105374590	-0.29450989		-0.3193837	0.139
MIR3682	0.06990256		0.0822053	0.806
CCDC85A	0.16188915		-0.3673236	0.293
LOC105377628	-0.30368641		0.0036306	0.989
C2orf74-AS1	-0.31721227			
USP34-DT	0.06525748		-0.4422967	0.0119
LOC107985767	0.06452881		-0.2408441	0.278
LOC105374764	-0.05743053		-0.0619849	0.819
AFTPH-DT	0.16806981		0.1443795	0.537
MEIS1-AS2	-0.09206877			
LOC105374789	-0.22008435		-0.2596743	0.251
LOC107985892	-0.10943057		-0.0346958	0.882
LOC105374795	0.03335831		-0.0492646	0.887
LOC105374807	0.21061159		0.1849759	0.314
DCTN1-AS1	-0.08580876		-0.135791	0.511
LOC105374808	-0.13656545		-0.080488	0.79
LOC105374812	0.07380175		-0.1329265	0.585
LOC105374810	-0.26231416			
LOC102724579	-0.40658821		-0.2654754	0.181
LINC01943	-0.08860452		0.47175	0.0777
IGKV1D-27	0.06164088		-0.0051878	0.993
IGKV1D-16	-0.11206554		0.1314549	0.8
IGKV3D-7	0.0686022		0.1674491	0.732
KMT2CP5	-0.06634475		-0.1365039	0.485
ANKRD20A8P	-0.09980205		-0.2877515	0.338
PROM2	0.0050724		-0.0970588	0.798
LOC105373494	-0.17158502			
DUSP2	-0.07245508		0.1117996	0.763
NCAPH	0.11157018		0.7373129	0.00233
CRACDL	0.23316827		0.6709801	0.0375
TBC1D8-AS1	0.03613952		-0.1522359	0.453
GPR45	-0.59812079		-0.5326536	0.0381
LOC107985930	-0.02014388		0.0398585	0.869
LIMS1-AS1	-0.29807967		-0.1154435	0.638
LOC102724848	-0.26826236		-0.5067912	0.0592
LOC105373552	0.25236922		-0.0703509	0.743
LOC102724875	-0.19799936		-0.4961283	0.0475
SOCAR	-0.05398584		0.4813557	0.0852
LOC112268423	-0.08290337		-0.0448179	0.846
ACTR3-AS1	-0.07585165		0.0458182	0.857
LINC02992	-0.15016686		-0.0272036	0.926
LOC101929908	0.13577491		-0.0848729	0.716
LOC105373585	0.35986657		0.219656	0.604
LOC101927834	-0.01663404		-0.3534979	0.187
LOC105373610	0.05368813		0.2194152	0.612
TUBA3D	0.10184676		-0.1620294	0.485
CCDC74A	0.13241959		0.3011515	0.314
NCKAP5-AS2	0.04247827		-0.0838476	0.757
LCT	0.07656848		0.0665815	0.81
LOC112268426	0.1476317		0.5190663	0.1
LOC105373636	0.00674827		-0.0830972	0.762
LOC105373709	0.23379751			
ERMN	0.16184505		0.241859	0.361
LOC105373711	-0.06626586		0.1450368	0.565
DPP4-DT	-0.00675378			
LOC102724081	-0.30419366		-0.4776631	0.0557
ITGA6-AS1	0.08431366		0.2308139	0.352
LINC01934	-0.04400784		0.0698618	0.862
LOC105373836	0.19931611		-0.210312	0.348
SNORD11	-0.22125543		-0.2338949	0.247
ICOS	0.11247751		0.583115	0.0759
LOC105373848	-0.11493173		-0.0802217	0.747
ADAM23	0.48780145			
MDH1B	0.05896116			
RPL37A-DT	0.00871191		0.1507213	0.364
MIR6809	-0.00993947		-0.2263829	0.283
CXCR1	0.1032902		0.1312976	0.661
LOC101928487	0.20237512		0.0775698	0.771
LOC105373881	-0.06254768		-0.17727	0.595
CATIP-AS2	-0.13406414		-0.1175792	0.69
CATIP	0.26099538			
CATIP-AS1	0.29536488		0.1143093	0.608
DNPEP-AS1	0.07794447		-0.3704386	0.144
SPEG	-0.10029263		-0.1781581	0.627
LOC105373902	-0.01667231		0.0214813	0.933
KCNE4	0.18092447		0.0965556	0.789
SNORA75	0.03781502		-0.1161322	0.656
LINC00471	-0.04601324		-0.0576644	0.871
LOC101927896	0.32014885		0.0049575	0.991
LOC105373939	0.15742153		-0.2466324	0.323
AGAP1-IT1	-0.25946104		-0.3869478	0.0711
LOC105373991	0.32549253		0.105426	0.778
ERFE	-0.21264138		-0.1983074	0.399
HDAC4-AS1	-0.14085266		-0.2663278	0.236
GPR35	0.24701342		0.3373063	0.116
BOK-AS1	-0.07457963		-0.2114775	0.56
LOC107986004	0.25413933		-0.1664	0.564
LINC01237	-0.18866159		-0.2653455	0.372
LOC105376922	-0.10067209		-0.0335437	0.957
LINC01266	-0.30941452		0.0916524	0.862
CNTN4-AS1	0.09594336		0.1198376	0.602
LOC107986007	-0.14105087		-0.1270041	0.632
ITPR1-DT	-0.05436757		-0.0422142	0.865
LOC105376933	0.03079731		0.2998037	0.231
LOC107986061	-0.26195696		-0.0776396	0.738
SRGAP3-AS2	-0.0187415		-0.2685028	0.348
SRGAP3-AS3	0.01865687		-0.0885675	0.798
PRRT3-AS1	-0.08354271		0.0947972	0.705
MIR12127	0.01593236		0.155197	0.446
LOC102723663	0.07232238		0.3519683	0.142
LOC105376956	-0.19115599		-0.255118	0.237
LOC105376963	-0.00121952		-0.0245076	0.918
LOC107986068	-0.55420573		-0.4672119	0.136
LOC105376987	-0.68205657		-0.5221251	0.129
SUSD5	0.14717496		0.0147855	0.978
LINC02033	-0.17124208		-0.3194372	0.152
LOC105377033	-0.10199743		-0.2434403	0.277
SLC22A13	0.09941883		-0.0069817	0.983
CCR8	0.06081684			
LOC101928592	-0.14472884			
LOC105377056	-0.35435928		-0.0252653	0.933
LRRC2-AS1	-0.01173893		-0.1205279	0.629
TMIE	-0.07455631		-0.208972	0.409
PRSS50	0.12133197		-0.36579	0.23
PRSS45P	0.28911654			
PRSS43P	-0.06616835		-0.4418616	0.0706
MYL3	0.17383604			
NRADDP	0.03505793		-0.1044162	0.698
INKA1	0.16020493		0.3219669	0.185
MST1R	0.3461975		0.3391659	0.342
LOC102724438	0.05720243		-0.0052942	0.985
RASSF1-AS1	-0.12899421		-0.1613733	0.416
ZMYND10	0.00939906		-0.0222115	0.937
LOC107986086	0.04114921		-0.292341	0.169
SNORD19B	-0.13570093		0.2272517	0.249
SNORD19C	-0.1122193		0.0623011	0.804
SNORD69	-0.06496676		-0.1119835	0.62
ARF4-AS1	0.29874641		0.1519203	0.467
PRICKLE2-AS2	-0.23345774		0.0345485	0.918
LOC107986094	-0.34331143		-0.6088011	0.00777
LMOD3	0.21275795		-0.0660216	0.802
LOC105377161	-0.24721164		-0.2703813	0.309
MIR4273	-0.07369912		-0.1634184	0.351
LINC00506	-0.09661743		0.1679066	0.571
LINC01205	-0.13445247		-0.9747871	0.0133
CD200	0.33652297		0.5195559	0.277
LOC107986113	0.06001758		-0.0372871	0.891
LOC105374048	0.01451134		-0.1627085	0.489
UPK1B	0.81231453			
ILDR1	0.50037828		0.3943193	0.27
CASR	0.03024216		-0.3098356	0.536
MYLK-AS2	-0.08356901		-0.2290167	0.244
LOC107986123	0.00965367		0.307882	0.427
ROPN1B	-0.09981139		-0.1443317	0.584
LOC105374088	-0.21613149		-0.671719	0.00762
KBTBD12	-0.03040315		-0.3783485	0.266
LOC102723759	0.03356935		-0.4125292	0.0886
SNORA58	-0.18504282		-0.2937379	0.177
LOC107986135	-0.11181871		0.0278669	0.931
SLC9A9-AS1	0.05965402		0.2431189	0.203
LOC107986141	-0.13437959		-0.1927568	0.682
ERICH6-AS1	0.02282265		0.1371692	0.605
CLRN1	-0.6534923		-0.3736503	0.409
AADACL2	0.01376431		0.0373525	0.922
LINC02006	0.06286492		0.1352959	0.598
ARHGEF26-AS1	-0.39638761		-0.4501819	0.172
PLCH1	0.35011567		-0.0312314	0.951
LOC105374174	-0.30418855		-0.2878765	0.217
LINC00880	-0.0500177		-0.1174266	0.765
UC.134	-0.08463731		-0.0253356	0.923
MLF1	0.20881377		0.221004	0.613
LRRIQ4	0.11360509		0.2518529	0.438
SLC7A14-AS1	0.15560423			
LOC105374234	0.09414221		0.5373727	0.0215
SOX2-OT	0.1618469		-0.2107231	0.48
LOC107986163	0.21988285		0.4659116	0.0513
LOC105374254	0.12386843		-0.1990975	0.544
RPL39L	0.05270046		0.5371939	0.0164
LOC107986166	0.08031145		0.1498914	0.657
OSTN	0.11475503		0.3148123	0.293
LRRC15	-0.27294529		0.3381914	0.604
GP5	-0.52924125		-0.4369281	0.127
LOC105374296	0.03954097		0.0292229	0.901
LOC107986029	0.01680907			
DYNLT2B	-0.09159798		0.0571825	0.873
UBXN7-AS1	-0.1982134		-0.224735	0.23
LMLN-AS1	-0.00025334		-0.0997933	0.708
LOC101059949	-0.24348345		-0.1276765	0.608
LOC107986244	-0.08313293		-0.1021553	0.667
ZNF732	-0.07636315		0.3049265	0.0582
MIR4800	0.22031587		0.0640246	0.771
LOC105374353	-0.02227752		-0.1993676	0.271
JAKMIP1	-0.12915034		-0.2444209	0.488
LOC107986257	-0.05284604		0.2364936	0.277
LINC02481	-0.22616639		-0.0978792	0.642
LINC02447	-0.12591975		-0.0765442	0.806
LOC107986258	-0.12749857		0.3293444	0.428
AFAP1-AS1	0.00618229		0.0798133	0.725
LOC105374376	-0.09769554		-0.2153395	0.301
DRD5	0.0026133		-0.3521351	0.253
LINC00504	-0.09258153		-0.0573161	0.806
LOC105374498	0.03012619		-0.4092918	0.0846
LOC105374536	0.19016941		-0.0270187	0.93
LOC102723733	0.00090817		0.2102196	0.379
LOC105374392	0.10413999			
LOC401127	0.1502585		0.0092067	0.972
SNORA26	0.20380797		0.0483059	0.869
LNX1-AS1	0.1736505		0.0608487	0.826
COMMD5P1	0.18846544		0.0132319	0.973
STAP1	0.19424369		0.2732077	0.339
CXCL1	0.27771948		0.542622	0.138
LOC107986291	-0.15926205		-0.0319203	0.897
LINC01094	0.06275969		0.9112504	0.00466
SNORD143	-0.12009219		0.1423173	0.465
MEPE	-0.55215362		-0.210423	0.733
LOC105377327	-0.03474085		-0.1131121	0.676
DDIT4L	-0.1360643		-0.2580349	0.333
LOC107986234	0.08581779		0.2910481	0.592
RRH	-0.05476238		0.0595759	0.801
LRIT3	-0.20958017		0.0009914	0.998
LOC105377392	-0.17058779			
LOC105377394	0.32307225		0.0821447	0.828
TRPC3	-0.18086056			
LINC02516	0.05100537		0.3404722	0.209
SLC7A11	-0.26871037		0.4677227	0.208
SCOC-AS1	0.1002691		0.1205185	0.564
LOC105377623	0.47606913		0.0793583	0.791
GUSBP5	0.00351005		-0.2752835	0.218
GYPB	-0.50837263		-0.2262638	0.421
HHIP-AS1	-0.05669978		0.3141018	0.215
SNORD73A	-0.30077081		-0.0097004	0.97
LOC105377492	-0.43208763		-0.2249629	0.348
MIR3140	-0.00815111		0.1183042	0.606
TIGD4	-0.04162854		0.1657723	0.499
FHDC1	0.10093063		0.1891244	0.473
RNF175	0.06067007		0.1843449	0.436
SPOCK3	0.02415401			
LOC107986200	-0.11951402		-0.1478799	0.571
LOC105377530	-0.04507165		-0.535496	0.113
GALNT7-DT	-0.01536264		0.0926539	0.63
SAP30-DT	0.40114239			
LOC101928409	0.1667822		0.3423989	0.212
WWC2-AS1	-0.34937632		-0.0703045	0.77
LOC107986217	-0.30082903		-0.2974137	0.262
ING2-DT	-0.06993884		0.0314325	0.901
LOC105377587	0.06285187		-0.3271987	0.172
CCDC110	-0.10557583		0.030135	0.932
FRG1-DT	-0.10255344		-0.0403373	0.892
PDCD6-DT	-0.1238849		-0.1131695	0.67
LOC101928768	0.01760413		-0.3585956	0.191
TRIP13	0.00782599		0.5026201	0.0519
NKD2	0.42909605		0.6927915	0.00754
LINC02145	-0.159673		-0.0164067	0.971
LOC105374663	-0.00748682		0.0665082	0.799
LINC02228	0.14675178		-0.0729301	0.731
LOC105374709	0.38265122		0.0329551	0.962
LOC105374711	-0.02828809		-0.1877557	0.366
TARS1-DT	0.05888608		0.0013646	0.997
TTC23L-AS1	0.30951116		-0.0169066	0.957
GDNF	0.20185627		0.5790789	0.148
LOC105374748	0.3367111		0.2217724	0.365
C5orf34-AS1	0.0651172		0.0070308	0.979
LOC105378963	-0.30749365		-0.275301	0.356
LOC105378968	-0.19928525		-0.1545104	0.529
LOC105378969	0.00751182		-0.1302545	0.636
IL6ST-DT	0.03952396		-0.0893087	0.732
LOC105378976	-0.00130304		-0.1297956	0.636
LOC107986350	0.08310408		0.2551969	0.509
ERCC8-AS1	0.01541589		0.0631604	0.741
SMIM15-AS1	-0.11712844		0.0054964	0.98
LOC107986418	0.02579933		-0.2094928	0.696
LOC105379003	0.26707965			
LOC107984116	0.13694791		-0.2481518	0.406
LOC112267939	-0.063099		0.0811036	0.741
LOC102724530	-0.00215276		-0.1051558	0.671
CRSP8P	0.12539254		0.1761141	0.382
LOC105379052	-0.54965587		-0.1255548	0.774
SCARNA18	0.12761726			
LOC105379070	0.19144193		-0.0741317	0.814
LOC107986360	0.13243905		0.0720648	0.748
LOC731157	-0.13180966		-0.2029274	0.332
LOC105379080	0.53613828		0.1123608	0.732
LOC101927023	0.2771259		0.0154342	0.962
EPB41L4A-DT	0.43051632			
LOC102467217	-0.60051694		-1.1251081	0.0842
SEMA6A-AS2	-0.12056298		-0.2878048	0.125
DMXL1-DT	-0.03307414		-0.4166818	0.0736
MIR5706	0.00316865			
LOC107986444	0.06150461		-0.0244996	0.955
ZNF474-AS1	0.02884403		-0.0080617	0.977
PPIC-AS1	-0.03053374		0.1667125	0.467
LOC105379174	-0.39119588		-0.4465771	0.195
CCNI2	0.01154572		0.2123932	0.258
LOC105379183	0.10704631		0.0443593	0.862
LOC107986452	-0.43515414		-0.416314	0.0608
SLC25A48	-0.43293572		-0.8720698	0.00207
LOC105379189	-0.20794124		-0.0302132	0.946
LOC107986369	0.05401452		0.0104061	0.972
LOC107986368	0.06977572		-0.1379575	0.561
PKD2L2-DT	-0.07027526			
FAM13B-AS1	-0.19700569		-0.0600605	0.761
CDC25C	-0.09391794		0.3187371	0.135
SNORD63	-0.03496936		-0.2077009	0.27
SNHG4	-0.12376856		0.3271009	0.114
PROB1	0.1264733		-0.1714786	0.62
CXXC5-AS1	-0.0602032		-0.2620657	0.269
PSD2	-0.19136423		0.0163637	0.97
LOC101929719	0.02607283		-0.2044751	0.486
SLC4A9	-0.12105675		-0.1119403	0.699
PCDHA4	-0.10664666		0.0730227	0.842
PCDHA12	0.1036399		0.2540898	0.546
PCDHB7	0.02032357		0.3673295	0.161
PCDHB9	0.03670424		0.0861216	0.788
PCDHB10	0.29368197		0.2405099	0.396
PCDHB18P	-0.13143323		-0.1035165	0.749
PCDHB19P	-0.2111763		-0.124479	0.684
SPRY4-IT1	-0.08129663		-0.1588796	0.528
LOC107986459	-0.21364501		-0.4970516	0.0276
SPINK13	-0.28134634		-0.382764	0.0822
GRPEL2-AS1	0.00837344		-0.0730261	0.749
PDE6A	-0.1042537		0.0377084	0.883
ARSI	0.08289897		0.3352628	0.198
NDST1-AS1	-0.1757026		-0.0933179	0.726
MIR378H	-0.29862885		-0.4039638	0.086
PPP1R2B	-0.07336205		0.0960614	0.625
LOC105377699	-0.69453518		-0.4696051	0.111
LOC107986470	-0.39400259		-0.3987935	0.324
KCNMB1	-0.14424828		0.3707261	0.151
LOC105377725	-0.02182283		0.159063	0.501
LOC107984118	-0.22104975		0.0169579	0.96
LOC107986486	0.15968021		-0.1733082	0.451
GPRIN1	-0.04864301		0.3324466	0.215
UNC5A	-0.05992529		-0.0719015	0.768
PRR7-AS1	0.27700808		0.1436311	0.573
LOC100128340	-0.03506956		-0.2225262	0.518
LOC105377762	-0.21634753		-0.4118731	0.33
LTC4S	0.22611927		-0.0469891	0.877
BTNL8	0.2140056		0.0450734	0.889
SNORD96A	0.13781475		0.0804349	0.703
LOC107986495	0.06114708		-0.2724967	0.199
LOC102723922	0.04566218		0.0072759	0.98
LOC102723944	-0.10496088		-0.3160655	0.449
FOXC1	0.21992199		0.4386719	0.25
SERPINB9P1	-0.11920347		0.1875625	0.734
LOC107986558	0.10013078		0.5852176	0.122
FAM217A	-0.08281086		0.153323	0.509
ECI2-DT	0.12948865		0.1563226	0.52
LOC112267953	0.00070744		0.0773332	0.717
LOC105374936	-0.07408561		-0.042212	0.852
LOC101928491	-0.0137236		0.1620567	0.601
LOC102724591	-0.06894956		-0.5040596	0.0195
NRSN1	0.16984432		0.1981839	0.706
H3C8	0.04966425		0.4465419	0.11
LOC105374985	0.46917831		0.7073826	0.00992
LOC105374989	0.05088771		-0.1518396	0.585
TRI-AAT2-1	0.31190229		0.7976171	0.00626
H2BC13	0.07393266		0.4938308	0.126
H4C13	-0.10199249		0.3229466	0.272
LOC102724889	0.0751393		-0.1880786	0.323
TOB2P1	0.445617		0.4480057	0.0129
HCG17	-0.31767946		-0.4819593	0.0124
LINC02569	-0.16210196		-0.4925028	0.0176
ABCF1-DT	-0.04427215		-0.0212606	0.94
SNORD84	0.13026821		0.1903892	0.316
LOC100287329	0.10169385		-0.1746304	0.394
LTA	-0.34247814		-0.230214	0.21
NCR3	0.15729801		0.0570582	0.849
SAPCD1	-0.08376622		-0.0206827	0.935
LOC100507547	-0.01491654		-0.1069836	0.603
TSBP1	-0.24202246		-0.367731	0.082
LOC101929309	-0.20170708			
LOC285847	-0.25519165		-0.4134462	0.125
ARMC12	-0.09949102		-0.5023105	0.0302
CPNE5	-0.27131988		-0.0663508	0.877
LINC02520	0.26610974		0.3446247	0.436
ZFAND3-DT	-0.1481741		-0.3706768	0.052
LOC105375045	0.04574013		0.1226021	0.604
LOC105375044	0.00422059		-0.3132285	0.0812
TREM1	0.27189878		0.4666082	0.115
FOXP4-AS1	0.03370089		-0.2140376	0.346
LOC105375060	-0.10984913		0.1302887	0.631
LOC105375064	0.07506541		-0.5116659	0.0355
MIR4647	0.06618752		0.171996	0.443
TCTE1	-0.26692207			
SPATS1	0.01604773		-0.1608576	0.597
KHDRBS2	0.08345296		-0.0123967	0.974
MIR30A	-0.04523231		-0.0954465	0.733
LOC100506851	-0.02511742		0.1245364	0.621
LOC107986617	0.45672627		0.3389405	0.367
PRSS35	-0.30325052		-0.0517957	0.906
MRAP2	-0.17571608		-0.03211	0.942
TBX18	0.01565031		-0.1407648	0.712
SNORD50A	0.08713755		-0.1841611	0.314
GJB7	0.09956914		0.043878	0.852
LOC105377889	-0.05408381		-0.0459758	0.852
LOC105377896	-0.88117717		0.2137773	0.746
EPHA7	-0.31908101			
LOC107984041	-0.31256308		-0.4895119	0.0751
LOC105377929	0.15935297		0.1378442	0.575
LOC105377932	0.16787951		-0.2296312	0.357
LINC00222	-0.0169251		-0.3200476	0.187
LOC107986630	-0.20413052		-0.3306877	0.131
HDAC2-AS2	0.12160738		0.0910551	0.772
TRAPPC3L	-0.05407603		0.0776991	0.749
CENPW	0.04548415		0.4744042	0.0106
LOC105377989	0.16550309		0.1872818	0.52
LOC107986643	-0.10796403		0.080698	0.815
SNORD101	-0.17989236		-0.0309564	0.903
SNORD100	0.08007029		-0.0137302	0.958
TARID	0.03331417		-0.0759652	0.843
AHI1-DT	0.03595689		0.199121	0.399
LOC101928326	-0.47669789		-0.722186	0.0211
IL20RA	0.3659057		-0.0711165	0.911
LOC107986651	0.05333954		-0.3576806	0.25
LOC102723724	0.23675066		0.6151589	0.0558
HYMAI	0.21377797		0.227622	0.442
LOC105378044	-0.19731796		0.0824656	0.774
LOC105378050	-0.20267388		-0.2113324	0.229
LOC645967	0.00124144		0.0204932	0.931
LOC105378067	-0.56378737		-0.7571871	0.00544
LOC101928868	-0.1435279		-0.5594932	0.0222
LOC115308161	-0.05052337		0.034879	0.871
AGPAT4-IT1	-0.04181858		0.0965379	0.71
CAHM	0.08756525		-0.1734087	0.458
LOC105378116	0.0495943		-0.1243436	0.619
MIR3939	0.1297138		-0.3130343	0.4
LOC105378122	-0.11297901		-0.2514699	0.409
LOC101929420	-0.06511819		-0.1010143	0.775
LOC107986755	-0.02048496		-0.1729868	0.476
LOC102723758	0.12339031			
LOC105375127	0.2870919		-0.1001424	0.682
LINC03016	0.15391234		-0.1233463	0.634
GLCCI1-DT	-0.0287466		-0.4308566	0.0251
LOC105375142	-0.15685776		-0.2011244	0.429
MGC4859	-0.0856151		0.0129656	0.973
LINC02888	0.11274282		0.1485324	0.599
LOC105375183	-0.23094004			
STEAP1B	0.10280077		-0.0944591	0.749
KLHL7-DT	-0.01097042		-0.0329397	0.931
LOC105375200	-0.65354522		-0.6830982	0.008
LINC02860	0.07281836		0.0667807	0.82
HOXA2	-0.04557257		0.1784782	0.599
HOXA5	0.1710232		0.0242904	0.938
DPY19L2P3	0.11244154		0.0186388	0.94
LOC105375218	-0.08504987		-0.0398495	0.9
LOC101928268	-0.11447978		0.0122647	0.964
CRHR2	0.12249207		-0.0887051	0.753
MIR1200	-0.28289942			
TRGC1	-0.11111119		-0.0221169	0.949
HECW1	0.16994605		0.6750346	0.0617
MIR4657	-0.2125185		0.0855566	0.651
LOC105375262	-0.00499461		-0.2651279	0.274
LOC105375282	-0.45583748		-0.5914499	0.0375
LOC105375322	-0.01661612		-0.2931406	0.119
LOC105375330	-0.06818806		-0.5927554	0.298
LINC02604	-0.05030018		-0.2075132	0.513
SPDYE7P	-0.08001242		-0.222867	0.27
FKBP6	-0.14134448		-0.187938	0.394
STX1A	0.20026781		0.1801297	0.316
MIR590	-0.03204717		-0.172251	0.326
LOC101927243	0.08322348		-0.11995	0.602
STEAP2-AS1	0.01365903			
LOC107986819	-0.09418876		-0.0659494	0.858
FAM237B	-0.27372155		-0.3838134	0.0945
DYNC1I1	0.30005749		-0.0731495	0.852
LOC107984034	-0.06925161		-0.1544358	0.443
MIR12119	0.07123326		0.1583209	0.429
LOC105375422	-0.06282975		-0.2752233	0.239
LOC105375423	0.18025472		0.0484217	0.843
GAL3ST4	0.26348753		0.4831283	0.0523
LOC107986828	0.03960086		-0.0875825	0.748
EPO	-0.12954443		-0.2671863	0.627
UFSP1	0.03185686		0.0128339	0.965
SH2B2	0.04504686		-0.1230998	0.629
SLC26A5-AS1	-0.0291819		-0.305027	0.127
CTB-30L5.1	0.11675683		0.15953	0.539
LOC105375443	0.14387436		0.097793	0.689
LOC105375481	-0.03145245		0.2056068	0.368
RNF133	-0.11075576		0.0772636	0.768
LMOD2	0.08134496		-0.1047467	0.758
POT1-AS1	-0.07896989		0.1327616	0.642
LOC101928357	-0.08812246		-0.1069396	0.806
GRM8-AS1	0.11867023		-0.0071121	0.988
LINC03012	-0.16972719		-0.3061257	0.302
CCDC136	-0.1699495		0.0107367	0.976
LOC105375523	-0.09336124		-0.0704506	0.779
DGKI	0.08973028		0.2851264	0.281
CLEC5A	0.25454518		1.0153709	0.00341
TCAF2P1	0.28498709		0.1806138	0.431
OR2A42	0.03304538		-0.0893653	0.685
RNY5	0.48678427			
TRS-AGA5-1	0.22091385		0.1316048	0.577
TRC-GCA19-1	-0.03682999		-0.1756068	0.496
REPIN1-AS1	-0.13945707		-0.0084896	0.978
ZNF775	0.10790784		0.2233037	0.222
LINC00996	0.00559025		0.3131144	0.277
ASIC3	-0.22265463		-0.1974929	0.304
MIR671	0.12386196		0.1652157	0.409
LOC102723686	-0.199422		-0.1864448	0.533
LINC00244	0.25198415			
VIPR2	0.46645318			
FAM87A	-0.23403485		-0.3601381	0.0732
LOC286083	0.22032456		0.0667621	0.863
LINC03021	0.01855663		-0.1640856	0.639
FAM66B	0.00641163		-0.0151814	0.967
LOC101929128	-0.10324494		-0.0668659	0.861
MSRA-DT	0.21180786		0.0326404	0.909
BLK	-0.36296261		-0.2745665	0.288
FAM86B2	0.11783803		0.0780083	0.733
LOC101930149	0.00826311		0.2422873	0.33
C8orf48	0.1675936		0.2570117	0.242
SGCZ	0.22799681		0.0230976	0.959
PDGFRL	-0.17496739		-0.0577544	0.857
LOC100128993	-0.06055595		0.0826144	0.761
FGF17	0.24493		0.2856468	0.452
LOC286059	0.44023978			
LOC100507156	0.10350603		0.3349241	0.244
STC1	-0.06257366		0.4724059	0.265
LOC105379331	-0.06858197		-0.1172217	0.611
CDCA2	-0.10323066		0.8427306	0.00536
PBK	0.19646903		1.1290037	0.00277
MBOAT4	-0.10327708		-0.1203714	0.653
TEX15	0.17357804		0.0601646	0.864
ZNF703	0.4510606		0.804365	0.0119
ANK1	0.18532545			
DKK4	0.05706506		0.1519342	0.531
LOC112268027	-0.06360337		-0.1783606	0.484
CLXN	-0.61017724		-0.9086867	0.00833
LOC105375825	-0.9311371		-0.7634531	0.104
PXDNL	-0.08938423		-0.3053816	0.173
LOC107986943	-0.21722027		-0.0007333	0.999
SOX17	0.31963034		0.3089275	0.179
XKR4	-0.50084555			
LINC01301	0.07067555		-0.2192212	0.405
YTHDF3-DT	0.0796574		-0.0518518	0.858
BHLHE22	0.25504504		0.8285382	0.0461
LOC105375879	-0.2062474		-0.4683735	0.0167
DNAJC5B	0.05806057		0.7581614	0.0111
LOC105375884	0.13061848		-0.2342321	0.318
PTTG3P	0.02597878		-0.1753703	0.373
SNORD87	0.01617161		0.1587324	0.379
LOC105375896	0.20220006		0.5386436	0.00719
LOC392232	-0.177078		0.3201573	0.21
STAU2-AS1	0.05089902		-0.1022954	0.639
PKIA	0.07073329		0.2213214	0.402
STMN2	1.08718183		3.3975853	5.02e-09
LOC105375919	-0.26892295		-0.0647013	0.774
LOC105375933	-0.19262603		-0.1033318	0.687
LOC105375935	0.11849085		0.142648	0.634
C8orf88	-0.03154295		0.1390675	0.647
MIR3150BHG	0.04760406		0.3028939	0.165
GDF6	0.12004533		0.1689011	0.671
UQCRB-AS1	0.06557267		0.1458275	0.518
LOC105375659	-0.19085142		-0.0194771	0.949
VPS13B-DT	-0.00713782		-0.3008529	0.123
FBXO43	-0.00975354		-0.0599181	0.843
LOC105375668	-0.04040208		-0.0182	0.939
LOC104054148	-0.04703944		0.05049	0.846
RSPO2	-0.4538194		-0.4309231	0.191
LOC107986901	0.90725504		0.5752492	0.321
LOC105375713	0.06972793		0.35948	0.0547
SNORD168	-0.09595599		-4.11e-05	1.0
SMILR	-0.07286572		0.1928634	0.642
LOC107986972	0.22441318		0.3424482	0.412
LOC105375743	-0.08159234		-0.0869797	0.742
LOC107986974	-0.2113483		-0.4621196	0.135
PCAT2	-0.0658209		0.0385603	0.893
CCDC26	-0.21074026		-0.3061267	0.155
KCNQ3	0.23589576		-0.0395201	0.939
LNCOC1	0.02487753		-0.3536562	0.286
LOC105375798	-0.16473302		-0.5552637	0.00302
MIR6845	-0.33094796		-0.1690028	0.556
SCX	-0.02683726		-0.054504	0.811
LOC100996662	0.14210638		0.0871498	0.798
LOC105375805	-0.0922431		-0.2846874	0.121
LURAP1L-AS1	0.05886412		-0.0927724	0.743
SH3GL2	-0.14395955		0.4332903	0.228
LOC105375987	-0.02140117		0.0855272	0.738
SAXO1	0.11025707		-0.1449102	0.517
CDKN2B-AS1	0.18252549		0.3801573	0.221
LOC105376000	0.0926428		-0.2238294	0.348
LINGO2	0.10762996			
TAF1L	0.02076423		-0.0971177	0.64
SUGT1P1	0.02643671		0.1397646	0.514
ANKRD18B	0.25162345		0.3066878	0.322
CNTFR-AS1	-0.46500431		-0.516647	0.154
LOC105376023	-0.39180633		-0.5740481	0.122
PHF24	0.05807393		0.0345522	0.914
SIT1	0.25853235		0.1264454	0.716
SPAAR	-0.02309982		-0.0104582	0.971
PAX5	-0.14439785		-0.2798949	0.409
LOC105376035	0.03735817		-0.2569777	0.287
LOC107986992	-0.1865509		-0.0988082	0.752
FAM95B1	-0.31203704		-0.4723616	0.0468
LOC107986995	0.25435042		-0.2769783	0.266
LOC102724580	0.15400738		-0.0156027	0.955
LOC107986993	0.01259434		0.1550794	0.637
LOC107987000	0.24892296			
LINC01189	0.13790042			
LINC00537	0.49572891		0.3777522	0.112
LOC100132154	0.23404377		-0.0680924	0.848
LOC101928381	0.23152666		0.1640563	0.575
LOC105379252	-0.26883454		-0.414679	0.0764
LOC107987076	-0.10927176		-0.1000988	0.757
TMEM252	-0.56811928		-0.3896954	0.269
