Symbol	Steatosis_1_vs_control	Steatosis_1_vs_control_pvalue	Steatosis_2_vs_control	Steatosis_2_vs_control_pvalue	Steatosis_3_vs_control	Steatosis_3_vs_control_pvalue
TRPM7	-0.0484721	0.862	0.02581019	0.919	-0.24497466	0.203
SERPIND1	-0.0410194	0.862	-0.07384608	0.774	-0.08578867	0.554
GUCD1	0.0483993	0.862	0.07570568	0.68	-0.0001653	0.999
GPR135	-0.0567616	0.862	0.10068988	0.735	0.04609501	0.891
SNAP47	-0.0547761	0.862	-0.02323648	0.928	-0.03731546	0.89
PACRGL	-0.0345763	0.862	0.00373726	0.981	-0.09460492	0.494
COQ4	-0.0308992	0.862	0.0912662	0.502	0.14827105	0.481
LOC112268063	-0.0633909	0.862	-0.11756937	0.64	-0.1465986	0.657
TOMM20L	0.077955	0.862	0.17384765	0.598	0.09872447	0.815
IGKV1-9	0.2125556	0.863	0.03035319	0.976	0.52683472	0.479
LOC105370181	0.1335576	0.863	0.16218849	0.8	-0.14766797	0.867
POC5	0.0374196	0.863	0.02717679	0.906	-0.02221881	0.925
SRGAP2-AS1	-0.0675769	0.863	-0.06419397	0.859	-0.23061239	0.501
GOLGA4	0.030138	0.863	-0.06333652	0.671	-0.11703233	0.541
CNBP	-0.036065	0.863	-0.07866441	0.527	-0.05004522	0.766
CEP19	0.0739266	0.863	0.13080068	0.702	0.18660984	0.631
TBPL1	-0.0467638	0.863	0.0087296	0.965	-0.00990164	0.973
SHB	-0.0653864	0.863	-0.04498905	0.871	0.0174272	0.956
DNAJC4	-0.0324696	0.863	-0.00794713	0.968	0.10900338	0.742
RPL6	-0.032951	0.863	0.06996131	0.676	0.17263659	0.589
PPM1A	-0.0293608	0.863	-0.04425591	0.776	-0.09057722	0.397
PDCD6IPP2	-0.0539966	0.863	-0.1135257	0.611	-0.11700149	0.692
C16orf54	0.0844591	0.863	0.07305854	0.841	0.19051427	0.66
KIF22	-0.0407513	0.863	-0.00251609	0.991	0.25038126	0.428
MFSD12	0.0415745	0.863	0.11316044	0.443	0.12994872	0.486
XIST	-0.478638	0.863	-0.58129556	0.802	-0.7471088	0.753
LOC105377628	0.1079821	0.863	0.0149181		0.09875562	0.861
TENM3	-0.2252896	0.863	-1.10408404	0.029	-1.39707392	0.0082
SNHG4	0.1109214	0.863	0.29396882	0.5	0.10597314	0.838
SPDYE17	-0.052253	0.863	-0.16126536	0.41	-0.12203309	0.687
MRPS35-DT	-0.0945316	0.863	-0.17215996	0.685	-0.0850394	0.885
TMEM132B	-0.1251958	0.863	-0.1589665		-0.10760672	0.868
LOC107985550	-0.0703638	0.863	-0.16893075	0.634	-0.0526724	0.916
SMC1B	0.0943475	0.863	0.05290758	0.902	0.01058765	0.986
IMP4	0.0319502	0.863	0.10959128	0.384	0.22285583	0.188
UBA52	-0.0340487	0.863	0.06616532	0.716	0.36064641	0.382
PRKRA	-0.0405516	0.863	-0.06775219	0.637	-0.0762692	0.601
LOC105369914	0.0986125	0.863	0.0380654		0.06588675	0.901
LOC105369714	-0.1507349	0.863	-0.63479801		-0.32201846	0.684
CHST14	-0.0422278	0.863	-0.05610572	0.777	-0.04628114	0.881
SLC12A2-DT	-0.0398689	0.863	-0.13044814	0.401	-0.11275361	0.517
TRIM15	0.0874026	0.863	-0.08772979	0.838	-0.00067787	0.999
MCPH1-AS1	-0.0700053	0.863	0.02409727	0.947	0.09354706	0.805
ANKRD23	-0.0384353	0.863	-0.13063564	0.49	-0.1405847	0.639
ENOX2-AS1	-0.0720954	0.863	-0.11037281	0.743	-0.16825763	0.666
LOC112268288	0.0525433	0.863	-0.02632953	0.938	-0.06740328	0.885
LOC105377148	-0.0389037	0.864	-0.15999258	0.307	-0.18263458	0.473
CYBC1	0.0415824	0.864	-0.02978335	0.889	0.1234537	0.577
ZNF860	-0.0776481	0.864	-0.23815694	0.485	-0.23559239	0.596
SRF	-0.0415792	0.864	-0.07248656	0.653	-0.12423481	0.333
GPN2	-0.0314375	0.864	-0.03770705	0.774	-0.08527026	0.657
ASNSD1	0.0296758	0.864	0.0240691	0.851	0.09952363	0.486
PSKH1	-0.0352767	0.864	-0.05611808	0.767	-0.03618737	0.858
LOC105373592	0.1734512	0.864				
CLDND1	-0.0242301	0.864	0.08669558	0.438	0.08101019	0.603
FARS2	-0.024003	0.864	-0.05760576	0.517	-0.04156313	0.792
LOC105378116	0.1078827	0.864	-0.12432676		0.11926617	0.818
INSIG1	0.1288655	0.864	0.60420179	0.271	0.4775159	0.388
LOC105375914	-0.0701029	0.864	-0.13074942	0.596	-0.16976681	0.524
LOC101929427	0.1131711	0.864	-0.02755941	0.973	0.81258611	0.214
WFDC1	0.1142902	0.864	0.14339534	0.747	0.19654158	0.798
CASKIN2	-0.0595598	0.864	-0.05002431	0.861	0.10014945	0.748
RPL13A	-0.0383069	0.864	0.06293991	0.751	0.27076429	0.507
SLIRP	0.0379722	0.864	0.13067282	0.363	0.41639185	0.292
SHKBP1	0.0519431	0.864	0.16445576	0.29	0.28359363	0.15
KLHDC9	-0.0591385	0.864	0.09200664	0.729	-0.05488503	0.906
LOC107984868	-0.1467602	0.864	-0.11940103			
HSPE1-MOB4	0.0347493	0.864	0.08222581	0.502	0.2419507	0.371
AUNIP	0.0489079	0.864	0.11312506	0.621	0.01753665	0.945
GABRB3	-0.2945347	0.864	-0.80492322	0.464	0.13219736	0.938
CTU2	0.0484736	0.864	0.00328325	0.989	0.19095237	0.382
ACBD6	0.0201839	0.864	0.00840065	0.941	0.00222099	0.985
MROH1	0.0419519	0.864	0.07946657	0.622	0.09996893	0.711
LOC105370753	-0.1224264	0.864				
ELOB	-0.0356801	0.865	0.0439926	0.827	0.38105323	0.386
CDC20	-0.116621	0.865	0.59935345	0.275	0.6113719	0.197
FOXQ1	-0.2074927	0.865	-0.85392953		-0.69090484	0.315
HMGCLL1	-0.0720361	0.865	-0.36665033	0.203	-0.31115489	0.345
HAND2-AS1	-0.0516444	0.865	-0.15607773	0.506	-0.24181079	0.261
LOC101927950	-0.0714601	0.865	-0.23093012	0.423	-0.07948497	0.883
GFPT1	0.0535587	0.865	0.11527176	0.594	0.09889807	0.705
TIAM2	0.0681518	0.865	-0.02777791	0.899	-0.13456402	0.63
SELE	0.1297327	0.865	0.03777316	0.959	0.24656737	0.692
RGS9	0.1398962	0.865	0.02925515	0.969	0.80960947	0.15
LOC105376176	-0.0955314	0.865	0.0327805	0.944	-0.07647894	0.904
GRHL2	-0.1776766	0.865	-0.27636611	0.724	-0.6293948	0.362
PXN	-0.0448247	0.865	-0.04964462	0.832	-0.0352069	0.901
PRMT5	-0.0360028	0.865	-0.04590932	0.763	-0.02685465	0.872
PDC	-0.0663548	0.865	-0.07314364	0.864	-0.22134068	0.52
SERPINB1	0.0572096	0.865	0.17807431	0.583	0.19333772	0.533
CCDC171	-0.0652865	0.865	-0.06853494	0.841	-0.08142183	0.806
METTL15	-0.0263438	0.865	-0.0190372	0.874	-0.06693076	0.569
RARA-AS1	0.0714646	0.865	-0.05874469	0.842	0.05893938	0.858
TNK1	0.0496912	0.865	-0.01492902	0.95	0.01350311	0.956
ING3	-0.0269115	0.865	-0.03736673	0.73	-0.0355035	0.833
BMPR2	-0.029971	0.865	-0.01126501	0.952	-0.01509353	0.944
SPSB4	0.0639433	0.865	-0.1202156	0.766	-0.24742211	0.586
KNL1	-0.0686658	0.865	0.0439501	0.873	0.06916221	0.802
TTLL5	-0.0313052	0.866	0.02912669	0.897	-0.06996135	0.69
ADGRL2	0.031093	0.866	-0.04047061	0.739	-0.06138109	0.614
EXO1	0.1568812	0.866	0.48338379	0.41	0.52102363	0.548
FAM228A	0.1549159	0.866	-0.26015762		0.00070063	0.999
STAP1	-0.1422084	0.866	-0.23030321		0.11602754	0.889
LOC107986876	0.0614569	0.866	0.18130804	0.478	0.14757768	0.597
CCDC183-AS1	0.0519874	0.866	0.10290136	0.663	0.07161769	0.85
PRELID3B	0.0440683	0.866	0.14936883	0.22	0.19283924	0.317
IGKV4-1	0.191918	0.866	0.08567546	0.92	0.53481894	0.378
MTERF1	-0.02591	0.866	-0.00517494	0.967	0.02617108	0.84
C12orf40	0.0602616	0.866	-0.11168306	0.716	-0.08408563	0.815
LOC102724023	-0.0337537	0.866	-0.01844991	0.934	-0.06507917	0.675
CA5B	-0.0450508	0.866	-0.12641907	0.538	-0.10656372	0.608
PMVK	0.0395212	0.866	0.03454616	0.887	0.23971539	0.409
ZNF233	-0.0462885	0.866	-0.14649364	0.395	-0.18999661	0.532
LOC100507562	-0.1422724	0.866	-0.09281363			
TNFAIP8L3	0.1258283	0.866	0.1082695	0.901	-0.02255397	0.977
AP2A1	0.0241958	0.866	0.05074953	0.763	0.13760924	0.301
LOC105371622	-0.0400708	0.866	-0.02981022	0.87	-0.06686256	0.625
BAZ2B-AS1	-0.034554	0.866	-0.01249464	0.948	-0.01483986	0.955
BZW1	0.0398823	0.866	0.20157911	0.0288	0.19310784	0.262
LOC105372141	-0.0542494	0.866	-0.02362738	0.939	-0.05655636	0.89
UHRF1	0.1252141	0.866	0.25772224	0.65	0.28706376	0.673
ADAM33	-0.2243171	0.866	-0.98321969		-1.34060618	0.111
CLEC12B	0.1458586	0.866	0.56573739			
TWSG1	0.0576667	0.866	0.17420619	0.629	0.24958375	0.31
LOC105369435	0.153666	0.866	0.21062869	0.723	0.06154393	0.925
CEP104	-0.0319416	0.866	-0.08171969	0.495	-0.01763273	0.942
LINC02798	-0.0991566	0.866	-0.09914025	0.834	0.18715816	0.759
NUAK2	0.0720177	0.866	0.04130526	0.93	-0.08542632	0.823
PSME4	-0.0381454	0.866	-0.04481831	0.728	-0.01183955	0.95
SPOPL-DT	-0.0530691	0.866	-0.13937758	0.44	-0.37462437	0.111
PCDH7	0.1066627	0.866	0.01231125	0.983	0.07524595	0.865
SEC14L5	-0.1200109	0.866	-0.37364457		-0.44267549	0.35
LOC107985032	0.1454112	0.866	-0.0055949			
ZNF331	-0.0650496	0.866	0.02290017	0.945	0.05614091	0.9
ZNF28	0.0857857	0.866	0.13576842	0.694	0.18003384	0.526
LOC107984263	-0.0531512	0.866	-0.05698736	0.83	-0.13265516	0.678
SMARCD1	0.0300591	0.866	0.06966952	0.639	0.15501294	0.296
PKIB	0.087165	0.866	0.26994465	0.557	0.23561515	0.528
LYNX1-SLURP2	-0.0809412	0.866	0.07007212	0.851	-0.00929966	0.986
CCDC149	0.0424593	0.867	0.10384492	0.594	0.0873526	0.642
HSD11B1-AS1	-0.0635919	0.867	0.05019401	0.887	0.07582541	0.815
FRAS1	-0.147181	0.867	-0.71410384	0.0844	-0.58643045	0.238
LOC105371822	0.2966155	0.867	0.00512461			
MRPL42	0.026527	0.867	0.08673652	0.402	0.09692979	0.374
LOC105376695	0.2164166	0.867				
LRRC40	-0.0313088	0.867	0.01943825	0.902	0.01593803	0.905
APCS	0.0612054	0.867	0.19663341	0.523	0.30480281	0.303
RMDN2	-0.0399192	0.867	-0.01931061	0.903	0.02689223	0.877
PRSS45P	-0.1586545	0.867	-0.52632546		-0.59750014	0.238
LOC105377452	-0.0688966	0.867	-0.07305878	0.846	-0.42470697	0.247
CTB-30L5.1	0.1108305	0.867	0.23789805		-0.17148229	0.734
LOC100134040	-0.073686	0.867	-0.04762916	0.908	-0.06732284	0.886
CCPG1	0.0328889	0.867	0.08245943	0.64	0.02015461	0.899
SEMA6B	-0.0822375	0.867	-0.10728689	0.794	-0.26977295	0.518
RPS16	0.0682856	0.867	0.2611481	0.433	0.71166044	0.185
ZNF584	-0.0323382	0.867	-0.03192232	0.86	-0.02927306	0.891
NANP	0.0382123	0.867	0.104502	0.585	0.06392772	0.777
CLCN5	-0.0451239	0.867	0.00107283	0.997	-0.03194937	0.916
LOC107985909	0.0937102	0.867	0.4469696	0.325	0.1564698	0.673
LOC105377994	0.0518357	0.868	0.00061538	0.999	0.04083412	0.902
ROM1	0.084194	0.868	0.14909052	0.69	0.35730636	0.324
POLR3C	0.0219629	0.868	0.05131599	0.598	-0.03272616	0.735
MANBA	0.0275555	0.868	0.05776537	0.623	0.0350082	0.771
SLC35B4	0.0482237	0.868	0.08537124	0.628	0.11633527	0.637
FAM238C	-0.1327934	0.868	-0.3281884	0.511	-0.41837478	0.431
LNPK	0.0283629	0.868	0.04399421	0.695	0.0078123	0.961
CAST	0.030851	0.868	0.04800002	0.686	-0.02522045	0.828
RAD51	-0.0711388	0.868	0.0554766	0.875	0.37879638	0.263
LOC101928361	0.0601186	0.868	-0.04516133	0.895	-0.10826916	0.715
DENND2A	-0.056996	0.868	-0.16060528	0.504	-0.19472842	0.441
GDI2	0.0340902	0.868	0.10012717	0.33	0.06412774	0.684
FMN1	0.0810146	0.868	0.22237848	0.655	0.10615765	0.807
TNMD	0.1370632	0.868	0.60017696			
RHBG	-0.1627773	0.868	-0.38278331	0.665	-0.30735283	0.645
ELK3	0.035774	0.868	0.11710885	0.669	0.12898395	0.554
TCEAL8	-0.0425878	0.868	0.11890767	0.509	0.29444911	0.352
LOC107984191	-0.0834228	0.869	-0.13245857	0.755	-0.09299235	0.847
TANGO6	0.038597	0.869	-0.13846678	0.504	-0.15184124	0.49
LINC00311	-0.1222391	0.869	0.09389872			
CABLES2	0.0592455	0.869	0.13733989	0.578	0.06258342	0.865
VWA5A	0.0610033	0.869	0.12910432	0.613	0.30273851	0.262
PIMREG	-0.1168866	0.869	-0.04292951			
REC8	-0.0538599	0.869	0.00336801	0.991	0.00673908	0.984
COMTD1	0.0760263	0.869	0.15984299	0.583	0.47959275	0.161
OST4	0.0321896	0.869	0.17099501	0.31	0.46319235	0.241
CCDC141	0.2140451	0.869	-0.74499159	0.228	-0.32720624	0.742
LINC02637	0.0770409	0.869	0.06384329	0.869	-0.01127849	0.97
NLE1	-0.0444652	0.869	-0.05782818	0.766	-0.01372241	0.947
ATXN1L	-0.019475	0.869	-0.03504138	0.64	-0.05760082	0.72
ZNF354A	0.0493492	0.869	0.30282722	0.146	0.38233972	0.103
CENPT	0.0292502	0.869	0.00673998	0.963	0.00622658	0.979
BLOC1S3	0.0489414	0.869	0.03923124	0.84	0.21746468	0.276
ABCC6P1	-0.0527337	0.869	-0.01000295	0.973	0.01931041	0.935
YWHAE	0.0206064	0.869	0.08126851	0.312	0.04062426	0.673
HEATR5A-DT	0.0556667	0.869	0.00480113	0.988	-0.02476974	0.951
CACNA1D	0.0469825	0.869	0.04964267	0.85	-0.01408103	0.966
TLL1	-0.1285419	0.869	-0.42876322	0.453	-0.46537336	0.488
RGMB-AS1	-0.1250868	0.87	-0.0496433			
CCDC142	0.0247587	0.87	-0.11218109	0.411	-0.08071466	0.733
RPL23P8	-0.0707117	0.87	-0.01872221	0.96	-0.03368473	0.952
AIF1L	0.1385751	0.87	-0.38498158	0.424	-0.72440796	0.145
C2orf74-AS1	0.1271158	0.87	-0.03091172		-0.39072066	0.543
WIPF1	0.0541077	0.87	0.20798452	0.468	0.24580461	0.334
PRSS50	0.1373155	0.87	-0.06456609		-0.10254899	0.891
GK5	-0.034335	0.87	-0.04370594	0.752	-0.03002254	0.87
GLRA1	0.1061903	0.87	-0.08994559			
LOC105377675	-0.1329915	0.87				
SEPTIN7P2	-0.0488296	0.87	-0.13027064	0.322	-0.18114961	0.279
PPP1R35	0.065946	0.87	0.07981338	0.794	0.42849328	0.353
GIMAP8	0.0447167	0.87	0.12458458	0.365	-0.02836924	0.916
LEPROTL1	0.040606	0.87	0.14196953	0.449	0.20372041	0.289
LINC01606	-0.5753144	0.87	-0.91022866	0.74		
SMIM27	-0.044846	0.87	0.02627614	0.912	0.15919795	0.553
LOC107987015	-0.0712192	0.87	-0.22058268	0.502	-0.22634711	0.509
MYO7A	-0.0413032	0.87	-0.11104311	0.64	0.00237118	0.995
GAPDH-DT	-0.0450995	0.87	0.09855525	0.582	0.13173935	0.549
MIR5006	-0.0838505	0.87	-0.09525951		-0.09776914	0.829
SAMD4A	0.0489441	0.87	0.04542069	0.855	-0.1222309	0.669
TCL1A	0.2051053	0.87	-0.20178594			
BDKRB2	-0.2524183	0.87	-0.58198726		-0.58687106	0.527
MAPKBP1	-0.0245644	0.87	-0.06938336	0.535	-0.13291191	0.547
SNORA10	-0.098637	0.87	-0.12840452		0.31922996	0.517
TGFB1I1	-0.0568621	0.87	-0.06700665	0.847	-0.33409019	0.187
PIAS2	-0.0275108	0.87	-0.03029028	0.782	-0.08362602	0.457
ZNF253	0.0397331	0.87	0.01022726	0.947	0.07623563	0.625
POU2F2	-0.0763546	0.87	-0.03164312	0.933	0.0703505	0.855
SCAF1	-0.0547971	0.87	-0.07478227	0.774	0.09527887	0.766
CHMP2A	0.0229763	0.87	0.04914182	0.68	0.17945354	0.435
NDUFA1	0.0459651	0.87	0.08973765	0.594	0.38538224	0.316
ADRA2A	0.2051355	0.87	-0.24453853		-0.00124963	0.999
ATXN7L3-AS1	-0.0768935	0.87	0.00351011	0.993	0.06824687	0.885
LOC105371055	0.1020252	0.87				
MTF2	-0.0275713	0.87	-0.02789846	0.855	-0.07075735	0.542
MEI1	-0.092168	0.87	-0.14553468	0.724	-0.25834377	0.536
LOC105378841	0.0595851	0.871	0.03709745	0.914	0.06843495	0.853
ZNF692	-0.0275771	0.871	-0.04930467	0.722	-0.00064013	0.998
LOC105374382	-0.1626914	0.871	-0.27221458	0.687	-0.6040086	0.478
CARNMT1-AS1	0.0422668	0.871	-0.0358003	0.838	-0.07944785	0.681
ADAM20	0.0462663	0.871	-0.06316664	0.778	-0.16410194	0.572
SPHK1	0.151084	0.871	0.07181181	0.939	0.02357317	0.973
BTRC	-0.0180275	0.871	0.00510316	0.96	-0.06563471	0.574
NR4A2	-0.0898799	0.871	-0.11333365	0.769	-0.04650925	0.92
SLC2A2	-0.0358172	0.871	-0.01583328	0.956	-0.06617829	0.706
LOC112268100	0.0578639	0.871	0.1727461	0.585	0.24973872	0.339
POLR3K	0.0605899	0.871	0.22593044	0.319	0.31640356	0.305
LOC105371082	0.1467677	0.871	0.17264896		0.32361133	0.678
PLEKHJ1	0.0523756	0.871	0.09059566	0.636	0.20661856	0.489
SIRT6	0.0550881	0.871	0.15717987	0.611	0.39132298	0.2
ZNF133-AS1	-0.0664312	0.871	-0.11759343	0.636	-0.04921053	0.912
PTTG1IP	-0.0710608	0.871	0.16499819	0.362	0.05470043	0.867
MIR3655	-0.0465278	0.871	-0.06392648	0.764	-0.05611465	0.834
LOC105375347	-0.0533441	0.871	-0.05199859	0.867	-0.11194735	0.763
ANP32AP1	0.1197698	0.871			0.2895694	0.647
GOLGA6L17P	0.0667647	0.871	-0.07614948	0.829	0.02623035	0.972
FXYD2	-0.1758742	0.871	-0.16606992	0.855	0.15915528	0.87
LOC100270746	-0.0712357	0.871	-0.18533956	0.558	-0.23632678	0.432
SFRP5	-0.1820089	0.871	-0.32304498	0.674	-0.47736505	0.506
RPL27	-0.037428	0.871	0.05545459	0.805	0.41344698	0.353
PLEKHM1P1	-0.0326673	0.871	-0.10937581	0.439	-0.10852817	0.553
CEACAM19	-0.0548047	0.871	0.03134632	0.919	-0.22727075	0.574
ACOT11	-0.1432966	0.871	-0.40206037	0.45	-0.30466617	0.608
CD8B	0.1369158	0.871	0.16310311	0.77	0.54003371	0.411
FAM168B	0.0209366	0.871	0.0222468	0.807	-0.07068677	0.649
GCSH	0.0447823	0.871	0.12947992	0.575	0.24551292	0.432
HOXB2	0.075452	0.871	-0.11213743	0.761	0.17414221	0.711
ZNF528-AS1	-0.089084	0.871	-0.22918899		-0.08298104	0.867
NPTXR	-0.1613273	0.872	0.05263173	0.943	-0.52096521	0.379
IGHV3-30	0.1784586	0.872	0.12529514	0.875	0.07094278	0.942
RNU4ATAC	-0.0748771	0.872	0.05922052	0.887	0.29154219	0.591
LOC100272217	0.0434591	0.872	0.09736373	0.628	0.12262731	0.61
COMMD4P2	-0.0837002	0.872	0.01982865	0.971	-0.253197	0.564
SNHG11	0.0429733	0.872	0.11292997	0.577	0.27678436	0.386
PLCXD2	-0.041178	0.872	-0.1029652	0.597	0.02751465	0.895
HAUS3	0.0226018	0.872	0.00297926	0.983	-0.00194868	0.989
SPATS1	-0.1412742	0.872	-0.29645404		-0.52762184	0.208
LOC105375146	-0.2108442	0.872	0.18086285			
GABARAPL1	-0.0390689	0.872	0.03307512	0.877	0.13913679	0.456
ALG5	0.0365397	0.872	0.09777075	0.479	0.20623412	0.408
HIRIP3	-0.0400258	0.872	-0.0990495	0.674	-0.11373451	0.581
NFATC1	0.0704893	0.872	0.06987948	0.883	0.24589426	0.36
CCT8	0.0226339	0.872	0.04012076	0.779	0.03494198	0.829
MYZAP	0.0795717	0.872	-0.14023505	0.669	-0.04940821	0.92
COX4I1	0.0323733	0.872	0.0877018	0.536	0.28846755	0.315
TSIX	-0.4119928	0.872	-0.58982256	0.775	-0.79456554	0.707
LOC105377616	0.2082832	0.872	-0.12423829	0.925	-0.65914163	0.55
ZNF136	-0.0296269	0.872	-0.06856395	0.56	-0.066524	0.667
CNNM4	0.0617749	0.872	-0.05750397	0.668	-0.02689948	0.891
CSNK2B	0.0224147	0.872	0.06555396	0.535	0.15035132	0.452
LOC101929667	0.1114736	0.872	0.13149813		0.14231376	0.774
GULP1	-0.1699324	0.872	-0.57605878	0.43	-1.05054852	0.0715
LOC105375079	0.1481272	0.872	-0.31929956	0.476	-0.86450249	0.08
LOC107987269	-0.0778588	0.872	-0.16305771	0.646	-0.09431022	0.828
GBP1P1	0.0785422	0.873	0.07354157	0.806	0.37151125	0.343
LOC107985930	0.0765418	0.873	-0.10475211		-0.02837593	0.959
LINC02197	0.0552211	0.873	0.03840696	0.922	-0.07838242	0.836
RFESD	0.0561667	0.873	0.15969727	0.533	-0.02207406	0.947
LOC105372261	0.0823351	0.873	0.09275492	0.841	0.136146	0.766
SCARNA4	0.0876412	0.873	0.14268204		0.45667663	0.294
DCBLD2	-0.0256708	0.873	0.03762795	0.819	-0.09607982	0.437
H3C3	0.0932235	0.873	0.29876781	0.459	0.70325252	0.0425
HOXA-AS2	0.1057822	0.873				
DMAC2	0.0387845	0.873	0.00530163	0.979	0.11795772	0.603
PRR5	0.0454656	0.873	0.0787133	0.755	0.24035566	0.114
LOC107985497	0.0803634	0.873	-0.0940269	0.819	0.29852145	0.55
LOC100131532	-0.1153292	0.873				
ITFG2-AS1	0.0523457	0.873	-0.01926785	0.949	-0.01982705	0.956
SMC1A	0.0387188	0.873	-0.05802178	0.691	-0.10613518	0.622
LRP1B	0.2581406	0.873	0.15067846	0.902	0.28091877	0.862
FLJ20021	-0.0715314	0.873	-0.11981446	0.741	0.10158595	0.853
LOC107984817	0.0927078	0.873	-0.01411059	0.979	-0.2028922	0.743
ESCO2	-0.1251453	0.873	-0.14413401	0.774	0.04160051	0.949
FLJ32255	-0.0735101	0.873	-0.11010464	0.657	-0.06584031	0.886
CSRP2	0.0629537	0.873	0.20651443	0.424	0.56312317	0.133
ASPHD1	-0.0724031	0.873	-0.15917458	0.674	-0.2091521	0.581
LINC02139	-0.1097852	0.873	-0.01974701		0.10641184	0.861
SSTR2	0.0627468	0.873	0.11486508	0.743	0.06642733	0.83
PBK	0.1943672	0.873	0.84675607	0.293	0.92757887	0.293
CCNA2	0.0714682	0.874	0.35753883	0.313	0.42441649	0.233
SLC17A1	-0.0787134	0.874	-0.17305024	0.628	-0.21970571	0.445
TRAPPC4	0.0305642	0.874	0.08869756	0.668	0.10084965	0.64
EPB41L4A	0.0710321	0.874	-0.03410891	0.933	-0.00658952	0.989
PP7080	0.0377421	0.874	-0.05351601	0.765	0.17754896	0.477
UBE3D	-0.0325194	0.874	-0.03954248	0.823	-0.13514431	0.283
TMEFF1	0.0976684	0.874	-0.06008894		0.01220943	0.986
LOC112268213	0.0517656	0.874	0.23047128	0.275	0.12955502	0.666
SIGLEC5	0.0908783	0.874	0.25090996	0.401	0.20257648	0.718
SEC14L6	0.0939846	0.874	-0.02242602	0.964	0.20290106	0.69
SEMA3B	-0.0944322	0.874	-0.50272052	0.121	-0.58437515	0.133
ZNF876P	-0.0629784	0.874	-0.19238589	0.481	-0.16656456	0.527
GAK	-0.0248716	0.874	-0.05137832	0.66	-0.02588853	0.895
PELO	-0.0291066	0.874	-0.04457121	0.747	-0.08337837	0.443
LOC105369509	-0.0573258	0.874	-0.12321634	0.685	-0.12896962	0.718
LOC105374815	-0.1909255	0.874	-0.76754925	0.322	-1.06536044	0.136
FAM106A	-0.1529208	0.874	-0.28594325	0.665	-0.19125267	0.852
CWC27	-0.0287015	0.874	-0.01868933	0.884	-0.12379759	0.22
MRPS30	0.0264071	0.874	0.02075108	0.881	-0.00346147	0.985
ENO2	-0.0897467	0.874	-0.13691084	0.721	-0.13344826	0.758
PLCB4	0.1892685	0.874	-0.50294143	0.492	-1.07018293	0.0422
PLXDC1	0.1033982	0.874	-0.17932094	0.601	-0.11572995	0.787
NNT	0.0347342	0.874	-0.06116415	0.703	0.01359841	0.955
KDM4C	-0.0193873	0.874	-0.03780517	0.744	-0.09338722	0.448
ASTN2	0.0478438	0.874	-0.13793329	0.56	-0.16045189	0.489
ATAD2B	0.0207634	0.874	-0.01077032	0.932	-0.0181985	0.931
GNL3	0.034717	0.874	0.03803002	0.84	-0.01318319	0.933
KIF19	-0.0863372	0.874	-0.30828336	0.364	-0.06610081	0.85
GPR52	0.0491554	0.874	-0.04118749	0.878	-0.25638612	0.443
DHX36	0.0290153	0.874	0.011438	0.934	0.01264439	0.915
LOC105374413	0.0784878	0.874	0.12475559	0.814	0.06308908	0.89
LINC01484	0.0950471	0.874	-0.1486507	0.764	0.12955003	0.832
PRDM1	-0.0655661	0.874	0.02678522	0.955	0.07388215	0.847
LOC115308161	-0.0788399	0.874	-0.05910292		-0.34357254	0.353
PLEKHA1	-0.0297163	0.874	-0.00377297	0.982	-0.09284736	0.364
LOC105369373	-0.0425489	0.874	-0.11850215	0.54	-0.08859545	0.73
CLIP1	0.041546	0.874	-0.03517346	0.755	-0.05310825	0.783
VPS37B	0.0375356	0.874	0.02175447	0.931	-0.03126773	0.896
WHAMMP3	-0.0349118	0.874	-0.0549058	0.74	-0.13775626	0.383
MRTFB	-0.0210863	0.874	-0.04754003	0.618	-0.08873976	0.468
ZG16	0.077022	0.874	0.05771792	0.905	0.29489178	0.466
MED31	-0.0343426	0.874	0.16098344	0.296	0.25580205	0.393
NDUFB7	-0.0446029	0.874	0.01210633	0.963	0.26661129	0.511
TSPEAR	0.104393	0.874	0.00512578	0.993	-0.0417104	0.955
LINC01545	0.1051486	0.874	0.06117088		0.0214798	0.98
SETD9	0.0342249	0.874	0.02982205	0.856	0.17018014	0.225
TMEM30A-DT	-0.0485349	0.874	-0.28325246	0.204	-0.31212666	0.214
CARD10	-0.0473508	0.874	-0.19401036	0.351	-0.15665074	0.457
ITGB2-AS1	0.1126601	0.874	-0.00905643	0.989	0.2877804	0.634
CENPE	0.0887456	0.875	0.40572883	0.327	0.39728182	0.376
HECA	0.0268367	0.875	0.01868229	0.901	-0.0580525	0.639
TP53AIP1	0.1281502	0.875				
THAP3	0.0321093	0.875	0.07069167	0.615	0.06948615	0.648
TACSTD2	0.1664743	0.875	0.53028316	0.57	-0.06512692	0.932
JAK1	0.0182069	0.875	0.01953127	0.83	-0.0501317	0.712
PYHIN1	-0.0805738	0.875	-0.03857042	0.929	0.05246724	0.92
IGKV1-16	0.1953637	0.875	0.2664597	0.721	-0.05182222	0.961
CIAO1	0.0181405	0.875	0.02921339	0.735	0.04577822	0.628
CYTIP	0.0824047	0.875	0.11568435	0.706	0.24249229	0.53
UGT1A8	0.0614254	0.875	-0.00841935	0.974	0.28364468	0.172
SH3BP5	0.0283019	0.875	0.07750322	0.668	0.02728841	0.908
